player_name,team_name,xt_value,total_actions
Jude Bellingham,England,0.1937080949732778,85
Daniel Carvajal,Spain,0.1931713177360045,137
Robin Le Normand,Spain,0.16509581071714396,163
Lamine Yamal,Spain,0.15077820263644498,78
Marc Guehi,England,0.14084839787146503,53
Marc Cucurella,Spain,0.11879538135415409,85
Bukayo Saka,England,0.07666448030652645,59
Kyle Walker,England,0.06939711220474759,85
Martín Zubimendi,Spain,0.05953221951509305,54
Luke Shaw,England,0.03690654427651354,51
Rodri,Spain,0.03537680076699808,59
Kobbie Mainoo,England,0.02248802731187459,44
Nacho,Spain,0.008637504085352287,7
Nico Williams,Spain,0.00806860396093301,109
Phil Foden,England,0.0026062042738687896,41
Mikel Merino,Spain,0.0,2
Ollie Watkins,England,-0.00272739606176149,5
Cole Palmer,England,-0.0060864607631530825,19
Mikel Oyarzabal,Spain,-0.009992728503005883,11
Fabián Ruiz,Spain,-0.024717491593839236,131
Unai Simón,Spain,-0.041104130597027715,70
Álvaro Morata,Spain,-0.05743307457949642,43
Daniel Olmo,Spain,-0.0761001472332678,72
Declan Rice,England,-0.08733809436641585,88
Harry Kane,England,-0.1855413242602994,20
John Stones,England,-0.19587338540989235,72
Aymeric Laporte,Spain,-0.42608466637756515,164
Jordan Pickford,England,-0.8398187971935903,76
